cdc_case_earliest_dt,cdc_report_dt,death_yn
6/24/2020,"3,614",Unknown
6/24/2020,731,Yes
6/25/2020,"18,017",Missing
6/25/2020,"17,190",No
6/25/2020,"3,326",Unknown
6/25/2020,666,Yes
6/26/2020,"17,805",Missing
6/26/2020,"19,824",No
6/26/2020,"4,111",Unknown
6/26/2020,764,Yes
6/27/2020,"17,545",Missing
6/27/2020,"13,893",No
6/27/2020,"2,619",Unknown
6/27/2020,615,Yes
6/28/2020,"21,000",Missing
6/28/2020,"15,853",No
6/28/2020,"2,413",Unknown
6/28/2020,722,Yes
6/29/2020,"26,184",Missing
6/29/2020,"23,168",No
6/29/2020,"4,062",Unknown
6/29/2020,890,Yes
6/30/2020,"21,891",Missing
6/30/2020,"20,486",No
6/30/2020,"3,777",Unknown
6/30/2020,819,Yes
7/1/2020,"29,141",Missing
7/1/2020,"22,108",No
7/1/2020,"4,151",Unknown
7/1/2020,992,Yes
7/2/2020,"24,585",Missing
7/2/2020,"19,640",No
7/2/2020,"4,179",Unknown
7/2/2020,885,Yes
7/3/2020,"21,707",Missing
7/3/2020,"16,900",No
7/3/2020,"3,437",Unknown
7/3/2020,779,Yes
7/4/2020,"17,578",Missing
7/4/2020,"14,641",No
7/4/2020,"2,697",Unknown
7/4/2020,653,Yes
7/5/2020,"20,932",Missing
7/5/2020,"16,844",No
7/5/2020,"2,985",Unknown
7/5/2020,722,Yes
7/6/2020,"27,615",Missing
7/6/2020,"27,345",No
7/6/2020,"6,069",Unknown
7/6/2020,"1,098",Yes
7/7/2020,"26,573",Missing
7/7/2020,"22,508",No
7/7/2020,"4,657",Unknown
7/7/2020,"1,061",Yes
7/8/2020,"30,065",Missing
7/8/2020,"23,550",No
7/8/2020,"5,176",Unknown
7/8/2020,"1,100",Yes
7/9/2020,"27,554",Missing
7/9/2020,"22,114",No
7/9/2020,"5,190",Unknown
7/9/2020,"1,057",Yes
7/10/2020,"27,645",Missing
7/10/2020,"23,353",No
7/10/2020,"4,712",Unknown
7/10/2020,"1,165",Yes
7/11/2020,"27,731",Missing
7/11/2020,"16,652",No
7/11/2020,"3,495",Unknown
7/11/2020,873,Yes
7/12/2020,"22,691",Missing
7/12/2020,"15,220",No
7/12/2020,"2,955",Unknown
7/12/2020,883,Yes
7/13/2020,"35,312",Missing
7/13/2020,"27,231",No
7/13/2020,"5,226",Unknown
7/13/2020,"1,269",Yes
7/14/2020,"29,473",Missing
7/14/2020,"21,903",No
7/14/2020,"5,384",Unknown
7/14/2020,"1,141",Yes
7/15/2020,"29,045",Missing
7/15/2020,"23,720",No
7/15/2020,"4,880",Unknown
7/15/2020,"1,256",Yes
7/16/2020,"24,937",Missing
7/16/2020,"20,295",No
7/16/2020,"4,666",Unknown
7/16/2020,"1,098",Yes
7/17/2020,"23,824",Missing
7/17/2020,"19,918",No
